Subject,Title,Instructor(s),Learning Product,Level,Duration,Gained Skills,Rate,Reviews,Data_Source
Teaching & Academics,2015 Great Decisions: Foreign Policy Association,Foreign Policy Association,Course,Not specified,6.0 hours,Social Science Foreign Policy,4.7,207,Public Dataset
Business,"Real Estate Investing: Strategies, Tools & Investing Mindset",Life Progression Project,Course,Not specified,5.5 hours,Real Estate Real Estate Investing,4.8,281,Public Dataset
Marketing,Facebook Advertising for Realtors,Allen Gregory,Course,Not specified,1.5 hours,Advertising Real Estate Leads,4.6,9,Public Dataset
Design,Adobe Illustrator CC Mastery: Zero to Hero in Illustrator,"Chad Neuman, Ph.D.",Course,Not specified,3.0 hours,Design Tools Adobe Illustrator,4.4,1730,Public Dataset
Photography & Video,The Animation Playbook Video - ADVANCE PRACTICE,Milos Djordjevic,Course,Not specified,1.5 hours,Video Design Animation,3.5,3,Public Dataset
Health & Fitness,An introduction to walking analysis and retraining,Dr Robert Crowther,Course,Not specified,1.5 hours,Other Health & Fitness Fitness,0.0,0,Public Dataset
Business,Supply Chain Management in a VUCA World,Michael Boyle,Course,Not specified,4.5 hours,Operations Supply Chain,4.7,115,Public Dataset
Music,Smart Songwriting: Write Great Songs That Attract Listeners,Christopher Greenwood,Course,Not specified,2.5 hours,Music Fundamentals Songwriting,4.4,144,Public Dataset
Personal Development,Master Your Emotions and Their Management,Dr. Elisaveta Pavlova,Course,Not specified,3.5 hours,Self Esteem & Confidence Master Your Emotions,4.9,7,Public Dataset
Music,Introducing GarageBand for iPad - completely awesome!,Paul Douglas,Course,Not specified,3.0 hours,Music Software GarageBand,4.5,150,Public Dataset
Development,Connect and query SQL Database Server using T-SQL and SSMS,Bluelime Learning Solutions,Course,Not specified,2.0 hours,Database Design & Development SQL Server,4.0,1,Public Dataset
Teaching & Academics,Mechanical Engineering and Electrical Engineering Explained,saVRee 3D,Course,Not specified,10.5 hours,Engineering Mechanical Engineering,4.5,903,Public Dataset
Design,Create photorealistic house from scratch to end in AutoCAD,Jaiprakash Pandey,Course,Not specified,3.0 hours,Architectural Design AutoCAD,4.7,217,Public Dataset
Health & Fitness,Mindfulness Meditation for Real Life,Salvador Choussy,Course,Not specified,3.0 hours,Meditation Mindfulness,4.6,734,Public Dataset
Personal Development,Memory Experts' Tools: The Major System,Chris M Nemo,Course,Not specified,1.0 hours,Memory & Study Skills Memory,4.7,43,Public Dataset
Music,VOICE CONTROL: Singing Guide for all Levels,Marius Worch,Course,Not specified,15.5 hours,Vocal Singing,4.5,14,Public Dataset
Health & Fitness,Kung Fu Weapons - The Single and Double Broadswords,Michael Stelzer Ph.D.,Course,Not specified,1.0 hours,Self Defense Martial Arts,0.0,0,Public Dataset
Lifestyle,Guided Image Therapist & Practitioner: Guided Image Healing!,Sufani Garza,Course,Not specified,1.0 hours,Esoteric Practices Meditation,5.0,1,Public Dataset
Design,Fusion 360 Weapon Modeling Course,Kaj Art,Course,Not specified,2.5 hours,3D & Animation Fusion 360,0.0,0,Public Dataset
Design,Design Thinking Complete Course,Dthinq Training,Course,Not specified,3.5 hours,Design Thinking Unknown,3.9,74,Public Dataset
Teaching & Academics,Developing a Culture of Thinking in Students,Dr. Dheeraj Mehrotra,Course,Not specified,1.0 hours,Teacher Training Learning Strategies,5.0,1,Public Dataset
Lifestyle,"Procreate: Draw, Sketch, Paint, and Design on Your iPad",Video School,Course,Not specified,16.0 hours,Arts & Crafts Procreate Digital Illustration App,4.5,2958,Public Dataset
Teaching & Academics,Probability: Mastering The Basics,Amrita Panjwani,Course,Not specified,1.5 hours,Math Probability,0.0,0,Public Dataset
Office Productivity,Complete Introduction to AWS QuickSight [2021 Edition],Ian Littlejohn,Course,Not specified,5.0 hours,Other Office Productivity Amazon QuickSight,4.6,116,Public Dataset
Personal Development,The Stress- Free Stress Management Plan,Peter Bennett,Course,Not specified,1.0 hours,Stress Management Unknown,0.0,0,Public Dataset
Lifestyle,Live Chess Playthrough #1 - Learn How A Chess Master Thinks,Chess University,Course,Not specified,3.0 hours,Gaming Chess,4.3,101,Public Dataset
Development,Game Physics - Introducing Gravitation & Rotation in Unity,Ben Tristem,Course,Not specified,5.0 hours,Game Development Game Physics,4.6,1080,Public Dataset
Development,The Ultimate Guide to Savegames in Unity,Andreas Metz,Course,Not specified,4.5 hours,Game Development Unity,4.9,76,Public Dataset
IT & Software,DP-900 practice test,Prep Tests,Course,Not specified,0.0 hours,Operating Systems & Servers Microsoft Certification,5.0,2,Public Dataset
Marketing,Launch Team Lift-Off,Misty Beller,Course,Not specified,0.5333333333333333 hours,Other Marketing Book Marketing,4.7,5,Public Dataset
Finance & Accounting,Cost Classification,Navkar Digital Institute,Course,Not specified,5.5 hours,Other Finance & Accounting Management Accounting,0.0,0,Public Dataset
Lifestyle,Elements and Principles of Interior Design,Vanna Albertini,Course,Not specified,0.6333333333333333 hours,Home Improvement Interior Design,4.2,15,Public Dataset
Health & Fitness,Russian Ballet Online. Learn At Home. Part 4,Galina Tarasyewich,Course,Not specified,5.0 hours,Dance Ballet,5.0,1,Public Dataset
Personal Development,How to do Mindfulness (In a gorgeous nutshell),Tanya Grant & Claire Wakeford,Course,Not specified,1.0 hours,Other Personal Development Mindfulness,5.0,3,Public Dataset
IT & Software,AZ-304 Microsoft Azure Architect Design Certification 2021,"Nikhil Chauhan | Azure Certified Cloud Practitioner, Marketo Certified",Course,Not specified,0.0 hours,IT Certifications Microsoft Certification,0.0,0,Public Dataset
Marketing,A-Z How to Do Your Own Search Engine Optimization (SEO)!,Andrew Miller,Course,Not specified,0.5 hours,Search Engine Optimization SEO,0.0,0,Public Dataset
Data Science,AI Agents: Build Real-World Multi-Agent Workflows and Autonomous Apps with LangGraph and LangChain,"Krish Naik, KRISHAI Technologies",Course,All Levels,45.5 hours,"AI Agents, LangGraph, LangChain, Multi-Agent Systems",4.5,6043,Curated
Finance & Accounting,Time Value of Money,Dr.C.G.Sastry Chinatalapati,Course,Not specified,2.0 hours,Finance Personal Finance,0.0,0,Public Dataset
Lifestyle,How to Draw Heads - Step by Step - From Any Angle,Robert Marzullo,Course,Not specified,12.5 hours,Arts & Crafts Drawing,4.8,1234,Public Dataset
Personal Development,Fully Accredited Professional Counselling for Adolescents,Dr Karen E Wells,Course,Not specified,0.6666666666666666 hours,Parenting & Relationships Counseling,4.5,163,Public Dataset
Lifestyle,Learn How To Create Passive Income With Cryptocurrency,Martial Niyonzima,Course,Not specified,2.5 hours,Other Lifestyle Passive Income,5.0,1,Public Dataset
Marketing,Fast & effective Landing Page course: Start converting today,Vako Shvili,Course,Not specified,2.0 hours,Digital Marketing Landing Page Optimization,4.5,1077,Public Dataset
Personal Development,The Art of Being Found - Can your Dream Job Find You?,Rolf Kramer,Course,Not specified,0.5166666666666667 hours,Personal Brand Building Job Search,4.6,34,Public Dataset
Finance & Accounting,M3-Uniform System of Accounting for Hotels - F&B Department,Hotel Management School Your learning Partner,Course,Not specified,2.5 hours,Accounting & Bookkeeping Accounting,0.0,0,Public Dataset
Development,HVAC Control Drawings,훈상 (Hoon-Sang) 윤 (Yun),Course,Not specified,2.0 hours,Software Engineering HVAC,5.0,2,Public Dataset
Lifestyle,Coaching Business Kickstarter - Coaching Business Start-Up,Graham Nicholls,Course,Not specified,7.0 hours,Other Lifestyle Business Plan,4.8,81,Public Dataset
Business,"Vibration acceptance criteria for rotodynamic pumps- ISO, HI",Ghazanfar Khan,Course,Not specified,1.5 hours,Industry Structural Engineering,0.0,0,Public Dataset
Health & Fitness,Fundamentals of Exercise Science,Onur Çoban,Course,Not specified,1.0 hours,Sports Sports Coaching,0.0,0,Public Dataset
Teaching & Academics,CAPM® Certification: Ultimate CAPM Exam Prep-23 pdus /c.hrs,Sabri C. PMP,Course,Not specified,27.0 hours,Test Prep CAPM,4.5,1356,Public Dataset
Music,"The Professional Bass Masterclass - Bass 1, Bass 2, Bass 3",Rajiv Narang,Course,Not specified,9.5 hours,Instruments Bass Guitar,4.6,2355,Public Dataset
Personal Development,The Ultimate Guide to Building a Personal Brand,Mark Fidelman,Course,Not specified,2.5 hours,Personal Brand Building Personal Branding,3.4,37,Public Dataset
Finance & Accounting,Production Function in Economics - Microeconomics,Sanchit Gupta,Course,Not specified,1.0 hours,Economics Unknown,5.0,1,Public Dataset
Health & Fitness,Yoga for Hips Joints,Timea Vitez,Course,Not specified,6.0 hours,Yoga Unknown,0.0,0,Public Dataset
Development,Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,Edward Viaene,Course,Not specified,4.5 hours,Software Development Tools DevOps,4.4,10486,Public Dataset
Design,"SwiftUI, Gestural & Microinteraction Foundations: The Basics",Amos Gyamfi,Course,Not specified,1.0 hours,User Experience Design SwiftUI,0.0,0,Public Dataset
Health & Fitness,How To Use The Kettlebell For A Kettlebell Strength Workout,Taco Fleur,Course,Not specified,1.5 hours,Fitness Kettlebell,5.0,2,Public Dataset
Photography & Video,Outstanding Composition: How to blow away your audience,Thomas Leuthard,Course,Not specified,5.0 hours,Photography Photography Composition,4.3,1315,Public Dataset
Business,Learn how to Write your Memoir and Memoir Writing Business,Fortunatus Onuh,Course,Not specified,6.5 hours,Media Memoir,0.0,0,Public Dataset
Office Productivity,C_SRM_72 | Supplier Relationship Management SAP SRM 7.0 EHP2,Rohit Redhu,Course,Not specified,0.0 hours,SAP Unknown,5.0,2,Public Dataset
Teaching & Academics,Sharks - The Ultimate Guide,Greg Holder,Course,Not specified,5.5 hours,Science Biology,4.9,14,Public Dataset
IT & Software,Blockchain Basics,Neeraj Benjamin,Course,Not specified,2.0 hours,Other IT & Software Blockchain,5.0,1,Public Dataset
Teaching & Academics,Ad Game,Bahcesehir University,Course,Not specified,5.5 hours,Other Teaching & Academics Advertising Strategy,5.0,1,Public Dataset
Development,Kubernetes Hands-On - Deploy Microservices to the AWS Cloud,Richard Chesterwood,Course,Not specified,25.5 hours,Software Development Tools Kubernetes,4.7,4275,Public Dataset
Finance & Accounting,50 Min. To Money-Saving Tricks for Students Crash Course,Mitchilline Lucas,Course,Not specified,1.0 hours,Other Finance & Accounting Personal Finance,5.0,1,Public Dataset
Business,Manufacturing Operations Management Certification Course,Olanab Consults,Course,Not specified,1.0 hours,Industry Operations Management,0.0,0,Public Dataset
Design,Decoupage masterclass course,Rekha Garg,Course,Not specified,2.0 hours,Other Design Crafting,5.0,1,Public Dataset
Development,Create Epic Games in Unity,Jackson Academy,Course,Not specified,1.5 hours,Game Development Unity,5.0,1,Public Dataset
Marketing,The DIY PR & Publicity Bootcamp,Haylie Marchant,Course,Not specified,1.5 hours,Public Relations Unknown,4.4,3,Public Dataset
Business,How to Guarantee Charity Auction or Benefit Success,Monica Sparks,Course,Not specified,0.6 hours,Other Business Event Planning,5.0,2,Public Dataset
Teaching & Academics,Stereochemistry III : Conformational Isomerism in 3D.,Shailesh Kumar,Course,Not specified,2.5 hours,Science Organic Chemistry,5.0,4,Public Dataset
Business,Udemy Secrets: Course Creation & Passive Income (Unofficial),Cheryl Spencer - Top Instructor,Course,Not specified,1.5 hours,Entrepreneurship Online Course Creation,5.0,1,Public Dataset
Personal Development,Mini Habit Mastery: The Scientific Way To Change Your Habits,Stephen Guise,Course,Not specified,3.5 hours,Personal Transformation Habits,4.5,1904,Public Dataset
Music,Learn To Read & Write Music - Go From Beginner To Advanced,Joe Parys,Course,Not specified,2.0 hours,Music Fundamentals Music Theory,4.2,193,Public Dataset
Photography & Video,Marine RPAS Training. Learn to drone safely from a vessel,David Carlos,Course,Not specified,1.0 hours,Photography Tools Drone,0.0,0,Public Dataset
Business,Real Estate Finance (For Beginners),Emilio Doporto,Course,Not specified,19.5 hours,Real Estate Real Estate Investing,4.5,25,Public Dataset
Data Science,"Machine Learning A-Z: AI, Python & R + ChatGPT Bonus","Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency",Course,All Levels,49.5 hours,"Machine Learning, Python Programming, R Programming, Regression, Classification, Clustering",4.5,205573,Curated
Marketing,Google Analytics for Beginners,Corey Rabazinski,Course,Not specified,3.0 hours,Marketing Analytics & Automation Google Analytics,4.0,865,Public Dataset
Information Technology,Cyber Security: From Beginner to Expert,Dr. Mohamed ElGohary,Course,Beginner,6.5 hours,"Cybersecurity Fundamentals, Threat Landscape, Security Governance",4.6,72548,Curated
Lifestyle,"Dog Care Owner Training For A Happy, Healthy Dog & Puppy",Tatiana Ambrose,Course,Not specified,2.0 hours,Pet Care & Training Dog Care,4.4,65,Public Dataset
Business,Project Manager's Playbook for Construction - Part 4 of 6,Matthew Morris,Course,Not specified,2.0 hours,Project Management Construction,5.0,5,Public Dataset
Health & Fitness,Orthodontics | Dentistry | By Dr.Teeth,Dr.Malik Hina,Course,Not specified,4.5 hours,Other Health & Fitness Dentistry,0.0,0,Public Dataset
Photography & Video,Your Road to Better Photography,Corey Reese,Course,Not specified,0.4666666666666667 hours,Digital Photography Photography,4.4,3797,Public Dataset
Lifestyle,Hair & Make Up + Bridal course.,London School Of Trends,Course,Not specified,10.5 hours,Beauty & Makeup Makeup Artistry,5.0,2,Public Dataset
Business,Organizational Psychology with Further Aspects Course,Bilal Semih Bozdemir,Course,Not specified,2.5 hours,Management Career Development,0.0,0,Public Dataset
Business,How To Become a Bestselling Author on Amazon Kindle,Tom Corson-Knowles,Course,Not specified,9.5 hours,Media Amazon Kindle Direct Publishing (KDP),4.5,1659,Public Dataset
Health & Fitness,Create your own Meal & Exercise Program - ENDOMORPH,Jacinta Lees,Course,Not specified,1.0 hours,Nutrition Meal Planning,0.0,0,Public Dataset
Business,Self-Esteem Life Coach Certification2 Training,Empowerment Coach Academy,Course,Not specified,9.5 hours,Industry Self-Esteem,4.2,223,Public Dataset
Health & Fitness,Get Moving!!,Talia Yarbrough,Course,Not specified,1.0 hours,Dance Unknown,5.0,1,Public Dataset
Business,All-in-One Excel Training: Transform Your Skills with Hands-On Projects and Real-World Applications! (Excel 2007-2025),"Kyle Pew, Office Newb",Course,All Levels,22.5 hours,"Microsoft Excel, Data Analysis, Spreadsheet Software, Excel Formulas",4.7,541426,Curated
Development,"Building Command Line Tools with Python,JavaScript and Julia",Jesse E. Agbe,Course,Not specified,12.5 hours,Software Development Tools Command Line,4.9,11,Public Dataset
Photography & Video,Adobe Lightroom (Cloud Version) - Up to Speed,Roger Hyttinen,Course,Not specified,5.0 hours,Photography Tools Adobe Lightroom,0.0,0,Public Dataset
Teaching & Academics,Practice questions in social work,Gullapalli padmaja,Course,Not specified,0.0 hours,Social Science Social Work,0.0,0,Public Dataset
Personal Development,Write a Novel Outline from Scratch (Novel Writing Success),Andrew Butcher,Course,Not specified,2.5 hours,Creativity Creative Writing,4.3,520,Public Dataset
Personal Development,Marketing and Manipulation: The Neuroscience of Shopping,Gregory Caremans - Brain Academy,Course,Not specified,1.5 hours,Influence Marketing Strategy,4.6,1352,Public Dataset
Photography & Video,Sell Stock Footage & Photography from ZERO to PASSIVE INCOME,Gui Siebert Make Money Online with Stock Photography & Stock Footage,Course,Not specified,3.0 hours,Commercial Photography Photography Business,4.3,395,Public Dataset
Music,Ableton 11 - How To Make A Drum & Bass Track,Omar Meho,Course,Not specified,1.5 hours,Music Production Ableton Live,5.0,1,Public Dataset
Business,Blogging Masterclass: How To Build A Successful Blog In 2021,Brad Merrill,Course,Not specified,3.5 hours,Entrepreneurship Blogging,4.5,6542,Public Dataset
Business,"Presentation Skills: Give More Powerful, Memorable Talks",Joseph Liu,Course,Not specified,1.5 hours,Communication Presentation Skills,4.5,2429,Public Dataset
Music,Harmony and Chord Progressions,Francois Rengère,Course,Not specified,5.5 hours,Music Fundamentals Music Instruction,4.6,167,Public Dataset
Photography & Video,Intro to Landscape Photography,Gus Cantavero,Course,Not specified,3.0 hours,Digital Photography Landscape Photography,0.0,0,Public Dataset
Design,The no BS 2 Hour UI Design Course,Messod Michael Abehsera,Course,Not specified,2.0 hours,Design Tools User Interface,4.6,946,Public Dataset
Teaching & Academics,Practice and Perfect your French - Intermediate Level (HD),Anne Le Grand,Course,Not specified,1.5 hours,Language Learning French Language,4.7,2080,Public Dataset
Teaching & Academics,Mathematical predictions of General Relativity,Emanuele Pesaresi,Course,Not specified,4.0 hours,Math Unknown,5.0,1,Public Dataset
Marketing,WordPress Automation Secrets,Digiliber Academy,Course,Not specified,1.0 hours,Digital Marketing WordPress,5.0,1,Public Dataset
Personal Development,ISO 45001:2018 OH&S Internal Auditor Course,Ali Allami,Course,Not specified,1.5 hours,Career Development ISO 45001,4.7,4,Public Dataset
Personal Development,Get Things Done: How To Organize Your Life And Take Action,Derek Franklin,Course,Not specified,3.0 hours,Personal Productivity Organization,4.5,1604,Public Dataset
Development,"Oracle 11g | 18c : Database Administration,Data Analysis",Bluelime Learning Solutions,Course,Not specified,12.5 hours,Database Design & Development Oracle Database,0.0,0,Public Dataset
IT & Software,c++ programming  language للمبتدئين بالعربي بشكل مفصل,Feras Alkurdi,Course,Not specified,17.0 hours,Other IT & Software C++,4.6,15,Public Dataset
Personal Development,Mindfulness for Children Diploma - Focus & Freedom for Kids!,Dr Karen E Wells,Course,Not specified,1.0 hours,Parenting & Relationships Mindfulness,4.4,339,Public Dataset
Marketing,Marketing For Small Businesses Crash Course.,Nour Boustani,Course,Not specified,3.0 hours,Marketing Fundamentals Marketing Strategy,4.9,125,Public Dataset
Marketing,2021 Complete Marketing Masterclass #4 | SEO,"Brian Bozarth, M.A. Marketing",Course,Not specified,4.0 hours,Marketing Fundamentals Marketing Strategy,4.5,174,Public Dataset
IT & Software,Learn Java Unit Testing with Junit & Mockito in 30 Steps,in28Minutes Official,Course,Not specified,5.0 hours,Other IT & Software Mockito,4.4,8301,Public Dataset
Personal Development,Introduction to Spencerian Handwriting,Doris Fullgrabe,Course,Not specified,1.0 hours,Creativity Handwriting,5.0,1,Public Dataset
Marketing,Planning For PR Success,Lisa Newton,Course,Not specified,1.5 hours,Public Relations Unknown,0.0,0,Public Dataset
Business,10 Proven Ways to Earn More on Fiverr,Dane Scott,Course,Not specified,1.0 hours,Media Fiverr,4.9,93,Public Dataset
Marketing,LinkedIn Growth Hacking & Personal Branding Masterclass,Harsh Jhunjhunuwala,Course,Not specified,1.0 hours,Branding LinkedIn,4.3,113,Public Dataset
Office Productivity,iMovie - Video editing for beginners on Mac OS.,Colin Marks,Course,Not specified,3.0 hours,Apple iMovie,4.7,746,Public Dataset
Finance & Accounting,Xero Online Bookkeeping and Accounting cloud software,Maria S.,Course,Not specified,6.5 hours,Accounting & Bookkeeping Xero,3.9,165,Public Dataset
Business,Upgrade from ISO 9001:2015 to AS9100D,K360 Solutions LLC,Course,Not specified,2.5 hours,Operations ISO 9001,0.0,0,Public Dataset
Health & Fitness,Beat The Binge Eating in 5 Days - Love Your Body's MAGIC!,Julie Dore,Course,Not specified,1.0 hours,Dieting Weight Loss,5.0,7,Public Dataset
Office Productivity,Master Google Sheets (and see why it's better than Excel),Justin Mares,Course,Not specified,2.5 hours,Google Excel,4.4,3603,Public Dataset
Music,Guitar Fundamentals Starting From Zero,Juan Pelaez,Course,Not specified,2.5 hours,Instruments Acoustic Guitar,5.0,7,Public Dataset
Music,Learn Music Production at Home from Scratch: Stage IV,Sebastian Schneider,Course,Not specified,4.5 hours,Music Production Unknown,0.0,0,Public Dataset
Finance & Accounting,Day Trading and Swing Trading Strategies For Stocks,Mohsen Hassan,Course,Not specified,3.5 hours,Investing & Trading Day Trading,4.7,3934,Public Dataset
Business,ISTQB Foundation Level 6 Practice set with Explanation -2021,After School,Course,Not specified,0.0 hours,Media ISTQB Certified Tester Foundation Level (CTFL),4.6,5,Public Dataset
Lifestyle,Wine in 9: The Complete Wine Tasting Course,Tom Savage,Course,Not specified,6.0 hours,Food & Beverage Wine Appreciation and Oenology,4.6,731,Public Dataset
IT & Software,Analog Engineering Interview Preparation (Analog CMOS IC),"Rahsoft RF Certificate - Orange County, California",Course,Not specified,2.0 hours,Hardware Electrical Engineering,5.0,4,Public Dataset
Design,Instagram: Use Canva for High Converting Social Media Design,"Anike , Zebra Soul Art",Course,Not specified,4.0 hours,Design Tools Canva,4.5,111,Public Dataset
Business,Kick Start Your Digital Strategy and Transformation Program,Mike Connor,Course,Not specified,3.5 hours,Business Strategy Digital Strategy,4.4,526,Public Dataset
Teaching & Academics,English Grammar Pro | Beginner to Advanced (A1-C1) Grammar,For Your English,Course,Not specified,12.0 hours,Language Learning English Grammar,4.5,3957,Public Dataset
Office Productivity,Oracle WebLogic 12c Administration & Application Deployment,Uplatz Training,Course,Not specified,5.0 hours,Oracle Weblogic,1.9,2,Public Dataset
Finance & Accounting,Certification in Iron Butterfly Options Trading Strategy,Saad T. Hameed (STH),Course,Not specified,3.0 hours,Finance Cert & Exam Prep Options Trading,4.7,26,Public Dataset
Personal Development,Arts Therapy - Arts Therapy For Self Healing (Part One),Riana van Staden,Course,Not specified,4.0 hours,Creativity Art Therapy,4.1,7226,Public Dataset
Health & Fitness,Raw Food Diet for Health and Longevity,Dina Jumabayeva,Course,Not specified,1.0 hours,Dieting Unknown,4.8,35,Public Dataset
Teaching & Academics,Shaken Baby Syndrome - Head it Off!,Sharon Sarles,Course,Not specified,1.0 hours,Teacher Training Early Childhood Education,5.0,4,Public Dataset
Finance & Accounting,Marginal Costing & Break Even Point (BEP),Dr.Himanshu Saxena,Course,Not specified,3.5 hours,Financial Modeling & Analysis Product Costing,0.0,0,Public Dataset
Health & Fitness,70min stretches and flexibility tabata workout for seniors.,Lisa Andreeva,Course,Not specified,1.0 hours,Sports Stretching Exercise,5.0,12,Public Dataset
Finance & Accounting,Excel Crash Course: Master Excel for Financial Analysis,Tim Vipond,Course,Not specified,3.5 hours,Financial Modeling & Analysis Excel,4.6,6183,Public Dataset
Health & Fitness,Eskrima Master Taster Course - Filipino Martial Arts,Eskrima Master,Course,Not specified,2.0 hours,Sports Martial Arts,5.0,5,Public Dataset
Lifestyle,Hypnosis: Advanced Hypnosis Seminar 5,Scott Jansen,Course,Not specified,1.0 hours,Esoteric Practices Hypnosis,5.0,5,Public Dataset
Marketing,Google Analytics Masterclass to Make Right Business Decision,Apurv Singh,Course,Not specified,2.5 hours,Marketing Analytics & Automation Google Analytics,0.0,0,Public Dataset
Business,Fundamentals of Analyzing Real Estate Investments,Symon He,Course,Not specified,18.5 hours,Real Estate Real Estate Investing,4.5,10376,Public Dataset
Marketing,Space Render 2.0: Transform your podcast into videos in 2021,Srinidhi Ranganathan,Course,Not specified,0.7 hours,Other Marketing Podcasting,4.8,36,Public Dataset
Finance & Accounting,Intermediate Financial Accounting,"Md Ilias Rubel ACCA, MBA",Course,Not specified,20.5 hours,Accounting & Bookkeeping Financial Accounting,0.0,0,Public Dataset
Business,Business Analyst: Project Management Techniques and Tools,The BA Guide | Jeremy Aschenbrenner,Course,Not specified,5.0 hours,Business Analytics & Intelligence Business Analysis,4.4,2894,Public Dataset
Personal Development,How to Hear God's Voice and Be Led by the Holy Spirit!,Dr. Stuart Pattico,Course,Not specified,1.0 hours,Religion & Spirituality Christianity,4.6,72,Public Dataset
Personal Development,How to Become a Memory Master with Idriz Zogaj,Idriz Zogaj,Course,Not specified,2.0 hours,Memory & Study Skills Memory,4.5,283,Public Dataset
Development,Deep Learning Foundation : Linear Regression and Statistics,Jay Bhatt,Course,Not specified,6.5 hours,Data Science Regression Analysis,4.9,1350,Public Dataset
Business,An Introduction to Tax Deductible Crowdfunding,Dillon Nicholson,Course,Not specified,1.0 hours,Entrepreneurship Crowdfunding,4.4,149,Public Dataset
Lifestyle,Pruning Trees and Shrubs - Everything you need to know,Robert Pavlis,Course,Not specified,1.5 hours,Home Improvement Unknown,4.6,50,Public Dataset
Business,Get Hired as a Mortgage Loan Processor,Joe Correa,Course,Not specified,1.5 hours,Real Estate Mortgage,4.8,99,Public Dataset
Office Productivity,Fun PowerPoint Course - Intermediate Level - Microsoft 365,Anna Masi,Course,Not specified,2.5 hours,Microsoft PowerPoint,0.0,0,Public Dataset
Business,Business Development Fundamentals,Salil Dhawan,Course,All Levels,Not specified,"Business Development, Corporate Relationships, Market Research, Customer Analysis",4.6,941,Curated
Business,Your complete guide to a successful career in Oil & Gas,WR Training,Course,Not specified,12.0 hours,Industry Oil and Gas Industry,4.6,98,Public Dataset
Health & Fitness,5-day-breathwork-challenge,Andy Grosskopf,Course,Not specified,2.0 hours,Mental Health Breathing Techniques,4.0,4,Public Dataset
Business,The Proven System for Creative Problem Solving,Dr. Matthew Checkley,Course,Not specified,1.5 hours,Management Problem Solving,5.0,1,Public Dataset
Business,Become a Virtual Assistant,Megan Walker,Course,Not specified,3.5 hours,Entrepreneurship Virtual Assistant,4.3,952,Public Dataset
Lifestyle,Cat Behavior Rectification & Cat Health Care: 2 courses in 1,Aman Gupta,Course,Not specified,3.5 hours,Pet Care & Training Cat Behavior,4.4,275,Public Dataset
Design,Paint an Underpainting:Guide for Beginners in acrylics/oils,Maibis Navarro,Course,Not specified,0.7166666666666667 hours,Other Design Painting,5.0,3,Public Dataset
Personal Development,Rhetoric of Story : Learn the 7 foundations of storytelling.,Damien Walter,Course,Not specified,5.5 hours,Creativity Writing,4.5,447,Public Dataset
IT & Software,Preparing for the System Design Interview,Programming Made Easy,Course,Not specified,1.0 hours,Other IT & Software System Design Interview,5.0,3,Public Dataset
Design,Learn How Create And Make Jewelry: The Basics In Design,Vicky Wittmann-Lamb,Course,Not specified,2.0 hours,Fashion Design Jewelry Making,4.9,58,Public Dataset
